;D

 中国通信機器大手の華為技術（ファーウェイ）[HWT.UL]は、米国の地方通信事業者が政府補助金を利用して同社製品を購入することを禁止するという米連邦通信委員会（ＦＣＣ）の決定を不服として提訴することを決めた。米ウォールストリート・ジャーナル（ＷＳＪ）紙が複数の関係筋の話として伝えた。\n        ";C

 欧州連合（ＥＵ）統計局が発表した１１月のユーロ圏消費者物価指数（ＨＩＣＰ）速報値は前年比１．０％上昇で、１０月（０．７％上昇）から加速し、ロイターがまとめたエコノミスト予想（０．９％上昇）も上回った。ただ２％未満でその近辺とする欧州中央銀行（ＥＣＢ）の目標からは程遠い水準にとどまった。前月比では０．３％低下した。\n        ";C

 欧州中央銀行（ＥＣＢ）理事会メンバーへの加入が見込まれているイタリア銀行（中央銀行）のファビオ・パネッタ副総裁とドイツのエコノミスト、イザベル・シュナーベル氏がＥＣＢの市場操作担当の座を巡り争っていると、関係者２人が明らかにした。\n        ";C

;D

 ドイツ連邦雇用庁が発表した統計によると、１１月の失業者数は増加予想に反して減少した。製造業は低迷しているものの、ドイツの労働市場は持ちこたえていることが示唆された。\n        ";C

;D

 ＜為替＞　ドルが主要通貨に対して当初値上がりしていたものの、その後は買いが続かず下げに転じた。米中通商協議を巡って警戒感が根強いほか、感謝祭明けの週末で動意薄となった。\n        ";D

;D

;C

 サウジアラビア国営石油会社サウジアラムコの新規株式公開（ＩＰＯ）は、個人・機関投資家からの注文が公開・売り出し株数を上回る応募超過になっているが、応募倍率は１．７倍程度でさほど過熱感はないという。幹事行のサンバ・キャピタルが２９日明らかにした。\n        ";C

;C

;D

;C

 ［東京　２８日］ - 政府は、２０１９年度補正予算を組んで、景気刺激に動こうとしている。与党などからは真水（付加価値を直接増やす財政支出）１０兆円という声が相次いで上がる。消費増税が軽減税率分を除いて４．６兆円の家計負担増であることを考えると、その２倍以上を使ってしまおうということになる。\n        ";C

 ジョンソン英首相率いる与党・保守党は２４日発表した選挙公約で、来年１月末の期限にきっちりと欧州連合（ＥＵ）を離脱する方針を掲げた。ただしこれは「言うはやすく行うは難し」だ。\n        ";C

;D

;D

;B

 ［サンフランシスコ　２２日　ロイター　BREAKINGVIEWS］ - 大学時代に自分は米国初のユダヤ系の大統領になるのだと冗談を口にしていたマイケル・ブルームバーグ元ニューヨーク市長は２４日、ついに２０２０年大統領選に正式に出馬、民主党候補指名を目指すと表明した。だがそれを実現するためには、自身の名前を冠した金融情報サービスのブルームバーグをどうにかしなければならない。このまま同氏が保有し続ければ、利益相反に問われる恐れがあるからだ。\n        ";D

 中国環境省の高官は２９日、土壌汚染抑制に向けた長期計画の一環として、２０１６年以降１３００社以上の重金属企業を閉鎖したことを明らかにした。\n        ";C

 日銀の黒田東彦総裁は２９日、衆院財務金融委員会で、当面の金融政策運営について「現時点でさらに追加緩和をするということは考えていない」と語った。\n        ";B

 フランス国立統計経済研究所（ＩＮＳＥＥ）が発表した第３・四半期の国内総生産（ＧＤＰ）確報値は、第２・四半期と同じく前期比０．３％増だった。家計支出の伸びが加速した。\n        ";C

;C

;C

;E

;C

 トヨタ自動車<7203.T>が２８日、ＭａａＳ（モビリティ・アズ・ア・サービス）の実証実験として進めてきた「ｍｙ ｒｏｕｔｅ（マイルート）」の本格展開に乗り出した。自動車の所有から利用への動きが進む中、トヨタは「自動車をつくって売る会社」から、移動に関わるあらゆるサービスを提供する「モビリティカンパニー」への転換を目指している。「マイルート」はその試金石となる。\n        ";C

