 複数の関係筋によると、ソフトバンクグループ<9984T>が出資するインドの配車サービス大手オラは、２０２１年３月末までに新規株式公開（ＩＰＯ）の手続きを開始することを目指している。        ;C

 　経済産業省が31日発表した2019年12月の鉱工業生産指数速報値（2015年＝100、季節調整済み）は前月比13％上昇の989だった。上昇は３カ月ぶり。生産の基調判断は「弱含み」に据え置いた。Ｑ    ;B

 　総務省が31日発表した2019年12月の労働力調査によると、完全失業率（季節調整値）は22％で19年11月比横ばいだった。ＱＵＩＣＫがまとめた市場予想の中央値は23％だった。完全失業者数（同）は    ;B

 　総務省が31日発表した１月の東京都区部・消費者物価指数（ＣＰＩ、中旬速報値、2015年＝100）は、生鮮食品を除く総合が1017と前年同月比07％上昇した。上昇は31カ月連続。ＱＵＩＣＫがまとめ    ;B

 　厚生労働省が31日に発表した2019年12月の有効求人倍率（季節調整値）は前月比横ばいの157倍だった。ＱＵＩＣＫがまとめた市場予想の平均の中心値は156倍だった。堅調な雇用環境が続いた。雇用の    ;C

 　最高裁（31日）東京高裁部総括判事（静岡家裁所長）近藤宏子*静岡家裁所長、石井浩    ;E

 　いちよし証券玉田　弘文氏（たまだ・ひろふみ）95年（平７年）大阪経済大経営卒、三洋証券入社。98年いちよし証券入社。19年執行役。大阪府出身。48歳（４月１日就任。小林稔社長はシニア・エグゼクティ    ;E

 　昨年12月、自民党農林部会の幹部が党本部に集まった。農林水産省が毎年まとめる政策指針「農林水産業・地域の活力創造プラン」の改定案が議題だった。配られた資料には「農林漁業成長産業化ファンド（Ａ―ＦＩＶ    ;D

 　世界140カ国以上の金融当局が初めて保険会社に適用する新しい資本規制をまとめた。2008年の米大手証券リーマン・ブラザーズの破綻とともに、世界金融危機を引き起こした米ＡＩＧの実質的な破綻を教訓に、1    ;D

 　日銀や欧州中央銀行（ＥＣＢ）など６中銀がデジタル通貨の発行に向けた共同研究に着手した。背中を押したのは、先行して「デジタル人民元」の実証実験を始める中国がデジタル通貨技術の国際標準化で主導権を握りか    ;D

 　*ワシントン＝河浪武史*米商務省が30日発表した2019年10～12月期の実質国内総生産（ＧＤＰ、季節調整済み）速報値は、前期比年率換算で21％増えた。前期並みの成長率を維持したものの、個人消費の    ;B

 ――中央省庁では若い世代の退職が相次ぐなかで、政策立案の機能を維持するために何が必要ですか。「民間やビジネスの世界は変化が速すぎて、今の体制のままで政策がそれに追いつくのはなかなか難しい。役所の中に博    ;D

